线索ID,日期,城市,渠道,客户年龄,客户性别,试驾时长,是否下订,is_outlier,试驾时长_raw,线索月份,跟进总次数,平均沟通时长,最大沟通时长,沟通时长标准差,最早跟进日期,最晚跟进日期,主要跟进方式,电话占比,微信占比,面谈占比,主要销售员ID,涉及销售员数,首次跟进间隔天数,跟进天数跨度,跟进强度,订单ID,交付日期,车型,配置,颜色,交付里程,是否延迟交付,交付评分,线索到交付天数,投诉次数,主要投诉类型,投诉类型数,平均处理时长,最大处理时长,售后平均满意度,售后最低满意度,是否有投诉,销售员ID,销售员城市,主要销售员职级,销售员入职日期,主要销售员绩效,销售员经验天数,租金(万),水电(万),市场费用(万),总运营成本万,年龄分段,是否周末,季度,城市当月线索数,渠道历史转化率,销售员历史转化率
L000453,2025-09-23,广州,抖音,44,男,31,1,0,31,2025-09,4,10.9,30.6,2.0,2025-09-29,2025-10-17,微信,0.201,0.486,0.313,S020,2,6,18,0.211,O000452,2025-12-06,G9,702 Max,星际绿,169.0,0.0,3.2,74.0,0,无,0,0.0,0.0,0.0,0.0,0,S020,广州,中级,2021-02-28,C,1668,10.19,4.47,18.41,43.11,36-45,0,2025Q3,15,0.27,0.349
L000454,2025-07-25,深圳,门店,29,男,5,0,0,5,2025-07,2,31.0,44.7,6.5,2025-07-27,2025-08-04,面谈,0.295,0.318,0.387,S013,2,2,8,0.222,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S013,深圳,中级,2022-10-30,A,999,30.3,4.43,33.7,23.33,26-35,0,2025Q3,24,0.31,0.287
L000455,2025-10-04,杭州,懂车帝,49,男,28,0,0,28,2025-10,1,20.1,27.6,0.0,2025-10-06,2025-10-24,电话,0.434,0.182,0.384,S020,2,2,18,0.053,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S020,杭州,中级,2022-03-19,A,1295,30.21,2.85,16.62,36.46,46-55,1,2025Q4,13,0.34,0.322
L000456,2025-11-05,杭州,小红书,51,女,38,1,0,38,2025-11,3,15.4,28.8,6.2,2025-11-06,2025-11-19,电话,0.478,0.474,0.048,S023,3,1,13,0.214,O000455,2025-12-21,G9,702 Max,星阙灰,222.0,0.0,2.6,46.0,2,售后响应,2,9.8,20.0,3.5,3.2,1,S023,杭州,初级,2024-01-11,B,664,10.06,3.06,39.31,57.76,46-55,0,2025Q4,14,0.29,0.372
L000457,2025-08-30,南京,门店,26,女,23,0,0,23,2025-08,2,26.1,38.1,3.5,2025-09-01,2025-09-02,电话,0.495,0.296,0.21,S006,2,2,1,1.0,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S006,南京,高级,2024-05-25,B,462,26.06,4.2,13.74,33.63,26-35,1,2025Q3,14,0.31,0.236
L000458,2025-11-04,北京,朋友推荐,36,男,26,1,0,26,2025-11,4,10.8,29.8,2.6,2025-11-07,2025-11-15,面谈,0.211,0.319,0.47,S043,3,3,8,0.444,O000457,2025-12-04,G9,702 Pro,星云白,257.0,0.0,3.8,30.0,0,无,0,0.0,0.0,0.0,0.0,0,S043,北京,初级,2021-01-07,B,1762,11.06,6.45,30.67,58.75,36-45,0,2025Q4,20,0.33,0.335
L000459,2025-07-13,南京,门店,41,男,28,1,0,28,2025-07,5,33.2,44.0,4.3,2025-07-19,2025-07-25,微信,0.345,0.528,0.127,S049,1,6,6,0.714,O000458,2025-09-08,G9,570 Plus,暗夜黑,125.0,1.0,3.9,57.0,1,充电体验,1,5.5,14.9,3.7,3.0,1,S049,南京,初级,2022-02-07,B,1252,31.87,3.97,27.68,57.03,36-45,1,2025Q3,13,0.31,0.29
L000460,2025-08-31,上海,懂车帝,48,男,37,0,0,37,2025-08,1,14.8,21.0,0.0,2025-09-02,2025-09-05,电话,0.463,0.346,0.191,S005,2,2,3,0.25,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S005,上海,资深,2022-10-18,B,1048,18.81,5.09,12.84,33.61,46-55,1,2025Q3,14,0.34,0.313
L000461,2025-09-17,深圳,车展,35,男,16,1,0,16,2025-09,3,22.2,25.6,3.7,2025-09-23,2025-09-24,面谈,0.368,0.148,0.484,S008,2,6,1,1.5,O000460,2025-11-18,G9,650 Max,月光银,47.0,0.0,3.7,62.0,0,无,0,0.0,0.0,0.0,0.0,0,S008,深圳,资深,2023-07-11,B,799,13.63,2.38,22.02,72.13,26-35,0,2025Q3,19,0.25,0.325
L000462,2025-09-29,重庆,懂车帝,40,女,42,1,0,42,2025-09,0,0.0,0.0,0.0,2025-09-29,2025-09-29,面谈,0.386,0.193,0.421,S020,0,0,0,0.0,O000461,2025-11-11,G9,650 Performance,月光银,93.0,0.0,3.5,43.0,0,无,0,0.0,0.0,0.0,0.0,0,S020,重庆,初级,2023-06-19,B,833,16.88,3.47,15.99,51.81,36-45,0,2025Q3,15,0.34,0.366
L000463,2025-07-24,上海,车展,41,女,22,1,0,22,2025-07,6,14.9,22.0,1.3,2025-07-28,2025-08-13,面谈,0.209,0.249,0.541,S031,3,4,16,0.353,O000462,2025-10-02,G9,650 Max,星云白,131.0,1.0,3.1,70.0,0,无,0,0.0,0.0,0.0,0.0,0,S031,上海,中级,2023-11-19,A,613,30.79,3.85,29.66,48.3,36-45,0,2025Q3,14,0.25,0.366
L000464,2025-09-08,上海,车展,53,男,18,0,0,18,2025-09,8,16.1,30.6,7.9,2025-09-08,2025-09-25,电话,0.424,0.213,0.363,S048,1,0,17,0.444,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S048,上海,初级,2021-06-24,B,1537,26.93,3.76,10.17,27.3,46-55,0,2025Q3,16,0.25,0.305
L000465,2025-10-24,西安,小红书,39,男,42,0,0,42,2025-10,2,15.0,20.5,8.6,2025-10-30,2025-11-18,电话,0.479,0.064,0.457,S014,1,6,19,0.1,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S014,西安,高级,2021-02-22,A,1705,20.28,5.57,33.27,45.54,36-45,0,2025Q4,19,0.29,0.378
L000466,2025-12-01,南京,懂车帝,34,男,25,0,0,25,2025-12,4,21.6,25.4,8.0,2025-12-03,2025-12-22,微信,0.443,0.519,0.038,S048,2,2,19,0.2,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S048,南京,中级,2022-09-13,B,1175,15.19,3.07,27.39,39.72,26-35,0,2025Q4,19,0.34,0.371
L000467,2025-09-21,南京,懂车帝,66,男,50,0,0,50,2025-09,2,17.6,31.9,7.5,2025-09-25,2025-10-17,微信,0.381,0.52,0.098,S017,1,4,22,0.087,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S017,南京,中级,2023-02-02,B,962,11.02,6.43,8.48,41.46,56+,1,2025Q3,23,0.34,0.239
L000468,2025-07-14,深圳,门店,42,男,19,1,0,19,2025-07,3,11.5,24.4,6.4,2025-07-20,2025-08-08,电话,0.677,0.284,0.039,S028,1,6,19,0.15,O000467,2025-09-11,G9,570 Plus,星际绿,17.0,1.0,3.5,59.0,0,无,0,0.0,0.0,0.0,0.0,0,S028,深圳,初级,2021-12-09,B,1313,22.52,2.3,12.36,69.6,36-45,0,2025Q3,24,0.31,0.37
L000469,2025-12-12,武汉,懂车帝,35,男,42,1,0,42,2025-12,3,18.9,25.2,6.2,2025-12-17,2026-01-05,电话,0.367,0.335,0.298,S021,3,5,19,0.15,O000468,2026-01-04,G9,570 Plus,月光银,58.0,0.0,3.9,23.0,1,软件体验,1,6.7,16.1,3.3,2.6,1,S021,武汉,初级,2022-03-14,B,1369,29.4,2.93,30.42,67.93,26-35,0,2025Q4,16,0.34,0.394
L000470,2025-10-15,成都,朋友推荐,41,男,36,0,0,36,2025-10,3,15.0,18.3,8.9,2025-10-19,2025-10-21,电话,0.509,0.152,0.339,S024,1,4,2,1.0,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S024,成都,高级,2021-05-04,B,1625,19.08,4.69,12.06,70.54,36-45,0,2025Q4,15,0.33,0.389
L000471,2025-09-28,成都,懂车帝,38,女,25,0,0,25,2025-09,1,15.5,19.2,0.0,2025-10-01,2025-10-14,微信,0.39,0.396,0.214,S017,3,3,13,0.071,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S017,成都,高级,2022-07-29,B,1157,12.72,5.22,19.95,37.16,36-45,1,2025Q3,18,0.34,0.393
L000472,2025-09-18,上海,抖音,38,男,26,1,0,26,2025-09,6,11.9,21.9,5.0,2025-09-18,2025-09-21,电话,0.453,0.253,0.294,S041,2,0,3,1.5,O000471,2025-11-05,G9,650 Performance,暗夜黑,251.0,0.0,3.7,48.0,0,无,0,0.0,0.0,0.0,0.0,0,S041,上海,中级,2021-06-29,B,1542,28.21,3.19,13.53,36.95,36-45,0,2025Q3,16,0.27,0.331
L000473,2025-10-20,武汉,小红书,28,女,41,1,0,41,2025-10,2,18.0,21.3,7.8,2025-10-27,2025-11-07,电话,0.557,0.297,0.145,S030,2,7,11,0.167,O000472,2025-12-26,G9,650 Max,星云白,163.0,1.0,3.8,67.0,2,软件体验,2,6.6,9.3,3.4,3.1,1,S030,武汉,高级,2022-01-19,A,1370,13.75,5.74,29.42,65.86,26-35,0,2025Q4,18,0.29,0.221
L000474,2025-12-16,深圳,小红书,26,女,25,1,0,25,2025-12,1,21.4,35.2,0.0,2025-12-16,2025-12-24,面谈,0.276,0.262,0.461,S025,1,0,8,0.111,O000473,2026-02-01,G9,570 Plus,月光银,46.0,0.0,3.4,47.0,2,售后响应,1,9.5,14.8,3.7,3.2,1,S025,深圳,初级,2021-04-17,B,1704,14.16,5.54,20.38,54.41,26-35,0,2025Q4,10,0.29,0.398
L000475,2025-12-01,成都,抖音,30,男,36,1,0,36,2025-12,4,11.7,23.5,2.3,2025-12-07,2025-12-18,微信,0.219,0.464,0.317,S006,1,6,11,0.333,O000474,2026-01-19,G9,702 Pro,星际绿,116.0,0.0,3.7,49.0,1,售后响应,1,6.9,8.9,3.9,3.4,1,S006,成都,高级,2023-11-30,B,732,22.75,5.11,21.94,33.96,26-35,0,2025Q4,14,0.27,0.228
L000476,2025-08-28,北京,朋友推荐,24,女,29,0,0,29,2025-08,2,19.2,34.2,5.8,2025-08-29,2025-09-20,电话,0.525,0.43,0.045,S032,2,1,22,0.087,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S032,北京,高级,2021-02-18,B,1652,20.53,6.36,28.36,74.09,18-25,0,2025Q3,15,0.33,0.298
L000477,2025-11-21,重庆,车展,49,女,26,0,0,26,2025-11,6,13.0,30.9,7.8,2025-11-28,2025-12-13,面谈,0.352,0.162,0.486,S024,3,7,15,0.375,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S024,重庆,高级,2023-07-14,C,861,13.87,3.56,26.89,23.53,46-55,0,2025Q4,8,0.25,0.268
L000478,2025-09-13,西安,朋友推荐,27,男,28,1,0,28,2025-09,2,15.9,20.5,8.9,2025-09-20,2025-10-02,电话,0.584,0.37,0.047,S049,3,7,12,0.154,O000477,2025-11-16,G9,570 Plus,暗夜黑,145.0,0.0,3.9,64.0,0,无,0,0.0,0.0,0.0,0.0,0,S049,西安,初级,2022-08-23,B,1117,12.54,6.19,18.37,48.73,26-35,1,2025Q3,13,0.33,0.272
L000479,2025-07-19,西安,懂车帝,43,男,41,1,0,41,2025-07,9,6.1,19.2,7.3,2025-07-25,2025-08-05,微信,0.193,0.411,0.396,S032,1,6,11,0.75,O000478,2025-09-11,G9,702 Max,星际绿,113.0,0.0,3.6,54.0,1,售后响应,1,15.7,17.9,3.6,2.8,1,S032,西安,中级,2022-04-11,B,1195,20.57,3.63,29.43,37.09,36-45,1,2025Q3,24,0.34,0.264
L000480,2025-07-04,西安,车展,38,女,32,1,0,32,2025-07,3,18.5,29.5,5.0,2025-07-07,2025-07-27,面谈,0.325,0.053,0.621,S017,1,3,20,0.143,O000479,2025-08-19,G9,570 Plus,暗夜黑,203.0,0.0,3.8,46.0,2,软件体验,2,13.9,18.3,3.1,2.9,1,S017,西安,中级,2023-07-18,C,717,16.04,2.27,11.16,50.22,36-45,0,2025Q3,24,0.25,0.392
L000481,2025-09-05,重庆,抖音,33,女,31,0,0,31,2025-09,3,10.0,23.9,3.2,2025-09-09,2025-09-30,面谈,0.204,0.262,0.534,S039,2,4,21,0.136,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S039,重庆,资深,2023-04-07,A,882,22.48,3.34,25.76,30.5,26-35,0,2025Q3,15,0.27,0.267
L000482,2025-12-07,南京,门店,37,女,26,1,0,26,2025-12,3,18.2,27.2,2.5,2025-12-11,2025-12-25,面谈,0.338,0.222,0.441,S010,1,4,14,0.2,O000481,2026-02-06,G9,570 Plus,星际绿,247.0,0.0,4.2,61.0,1,交付等待,1,9.4,14.2,3.3,3.1,1,S010,南京,资深,2023-04-19,A,963,20.95,3.58,12.23,51.58,36-45,1,2025Q4,19,0.31,0.346
L000483,2025-12-12,成都,车展,21,男,24,0,0,24,2025-12,1,3.0,18.4,0.0,2025-12-13,2025-12-19,电话,0.629,0.322,0.049,S025,2,1,6,0.143,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S025,成都,资深,2024-03-31,B,621,27.06,5.19,34.75,33.97,18-25,0,2025Q4,14,0.25,0.303
L000484,2025-08-06,深圳,抖音,50,男,15,0,0,15,2025-08,2,20.1,30.8,6.5,2025-08-11,2025-09-03,微信,0.177,0.553,0.27,S045,3,5,23,0.083,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S045,深圳,高级,2024-06-06,B,426,10.25,4.75,31.18,27.94,46-55,0,2025Q3,19,0.27,0.293
L000485,2025-11-18,南京,朋友推荐,32,男,33,0,0,33,2025-11,2,12.8,26.7,3.7,2025-11-21,2025-12-01,电话,0.594,0.364,0.043,S037,2,3,10,0.182,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S037,南京,中级,2022-03-18,B,1341,21.48,2.12,37.36,68.22,26-35,0,2025Q4,14,0.33,0.328
L000486,2025-07-18,成都,朋友推荐,45,女,22,1,0,22,2025-07,4,22.2,35.0,2.8,2025-07-25,2025-08-08,微信,0.279,0.424,0.297,S020,1,7,14,0.267,O000485,2025-09-10,G9,702 Pro,星际绿,215.0,0.0,4.0,54.0,1,软件体验,1,10.0,18.6,3.7,3.5,1,S020,成都,中级,2023-03-22,A,849,29.53,4.46,27.49,31.9,36-45,0,2025Q3,14,0.33,0.303
L000487,2025-11-27,西安,小红书,46,女,23,1,0,23,2025-11,3,18.9,23.4,1.6,2025-11-30,2025-12-18,微信,0.332,0.423,0.245,S016,2,3,18,0.158,O000486,2025-12-17,G9,650 Performance,星阙灰,256.0,0.0,3.8,20.0,1,售后响应,1,9.8,20.6,3.4,3.3,1,S016,西安,中级,2022-01-05,B,1422,22.83,4.0,31.04,53.55,46-55,0,2025Q4,13,0.29,0.372
L000488,2025-09-07,北京,小红书,25,男,30,0,0,30,2025-09,1,15.1,27.0,0.0,2025-09-11,2025-09-12,面谈,0.321,0.268,0.411,S033,2,4,1,0.5,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S033,北京,高级,2023-03-03,C,919,12.26,5.56,20.61,57.86,18-25,1,2025Q3,12,0.29,0.28
L000489,2025-07-03,深圳,抖音,41,女,22,1,0,22,2025-07,0,0.0,0.0,0.0,2025-07-03,2025-07-03,面谈,0.201,0.209,0.59,S003,0,0,0,0.0,O000488,2025-08-06,G9,702 Max,暗夜黑,95.0,1.0,3.9,34.0,1,异响/装配,1,2.2,7.7,4.5,4.0,1,S003,深圳,资深,2023-10-03,C,639,21.17,4.11,41.29,23.57,36-45,0,2025Q3,24,0.27,0.329
L000490,2025-08-18,南京,车展,45,男,27,0,0,27,2025-08,2,26.8,45.9,7.2,2025-08-21,2025-08-31,电话,0.438,0.367,0.195,S019,1,3,10,0.182,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S019,南京,中级,2023-04-26,B,845,29.67,5.88,25.39,55.33,36-45,0,2025Q3,14,0.25,0.252
L000491,2025-11-26,成都,门店,28,女,25,0,0,25,2025-11,3,11.1,15.8,7.5,2025-12-02,2025-12-05,面谈,0.241,0.216,0.544,S038,3,6,3,0.75,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S038,成都,初级,2022-02-13,B,1382,15.44,4.82,25.57,37.6,26-35,0,2025Q4,20,0.31,0.353
L000492,2025-09-30,成都,懂车帝,36,男,41,1,0,41,2025-09,6,15.0,25.0,7.5,2025-10-02,2025-10-03,电话,0.416,0.295,0.288,S030,3,2,1,3.0,O000491,2025-11-27,G9,650 Performance,星云白,234.0,1.0,3.3,58.0,0,无,0,0.0,0.0,0.0,0.0,0,S030,成都,高级,2021-08-07,C,1515,13.97,2.23,16.74,45.32,36-45,0,2025Q3,18,0.34,0.29
L000493,2025-09-27,广州,朋友推荐,36,女,21,0,0,21,2025-09,1,20.2,38.5,0.0,2025-09-30,2025-10-09,电话,0.49,0.475,0.034,S025,1,3,9,0.1,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S025,广州,高级,2023-08-14,B,775,20.72,4.87,29.37,36.92,36-45,1,2025Q3,15,0.33,0.379
L000494,2025-10-10,南京,朋友推荐,40,女,25,0,0,25,2025-10,2,22.3,33.4,8.2,2025-10-12,2025-10-28,微信,0.126,0.471,0.403,S031,3,2,16,0.118,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S031,南京,高级,2022-04-24,B,1265,30.37,6.29,37.58,27.49,36-45,0,2025Q4,12,0.33,0.243
L000495,2025-11-02,深圳,朋友推荐,30,男,30,0,0,30,2025-11,2,13.8,33.5,3.7,2025-11-08,2025-11-26,电话,0.581,0.196,0.223,S010,3,6,18,0.105,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S010,深圳,中级,2021-06-10,B,1606,12.58,2.23,10.49,22.16,26-35,1,2025Q4,17,0.33,0.392
L000496,2025-10-06,广州,门店,38,男,19,0,0,19,2025-10,2,26.8,32.6,2.6,2025-10-06,2025-10-27,微信,0.463,0.491,0.047,S014,3,0,21,0.091,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S014,广州,高级,2023-07-25,C,804,10.27,5.61,25.96,26.9,36-45,0,2025Q4,10,0.31,0.224
L000497,2025-07-04,武汉,抖音,29,男,13,0,0,13,2025-07,2,24.7,36.8,4.2,2025-07-04,2025-07-08,电话,0.585,0.235,0.181,S006,1,0,4,0.4,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S006,武汉,中级,2022-12-19,B,928,14.7,2.62,36.29,50.96,26-35,0,2025Q3,14,0.27,0.35
L000498,2025-08-27,成都,懂车帝,48,男,44,0,0,44,2025-08,4,20.0,39.8,8.4,2025-08-27,2025-09-09,微信,0.435,0.533,0.032,S023,3,0,13,0.286,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S023,成都,中级,2023-01-11,B,959,21.39,4.36,37.11,44.09,46-55,0,2025Q3,11,0.34,0.393
L000499,2025-11-27,杭州,懂车帝,36,男,37,0,0,37,2025-11,4,18.4,27.2,3.6,2025-11-28,2025-12-22,电话,0.709,0.242,0.049,S040,1,1,24,0.16,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S040,杭州,高级,2023-11-20,C,738,31.29,2.93,14.69,43.27,36-45,0,2025Q4,14,0.34,0.372
L000500,2025-10-16,成都,小红书,37,男,50,1,0,50,2025-10,1,13.1,21.5,0.0,2025-10-16,2025-10-19,微信,0.362,0.444,0.194,S021,2,0,3,0.25,O000499,2025-11-11,G9,702 Pro,星际绿,136.0,1.0,3.7,26.0,2,充电体验,2,7.2,15.9,3.8,3.4,1,S021,成都,高级,2023-04-27,C,903,20.56,5.18,34.55,24.9,36-45,0,2025Q4,15,0.29,0.285
L000501,2025-11-23,深圳,朋友推荐,34,女,24,0,0,24,2025-11,1,17.8,27.9,0.0,2025-11-27,2025-12-09,面谈,0.227,0.385,0.388,S049,2,4,12,0.077,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S049,深圳,初级,2021-07-30,B,1577,20.96,4.52,27.79,56.76,26-35,1,2025Q4,17,0.33,0.383
L000502,2025-09-07,南京,懂车帝,22,女,15,1,0,15,2025-09,4,22.1,25.2,8.5,2025-09-14,2025-09-22,微信,0.461,0.493,0.046,S016,2,7,8,0.444,O000501,2025-10-30,G9,650 Performance,星云白,177.0,0.0,3.6,53.0,1,交付等待,1,3.8,7.6,3.9,3.3,1,S016,南京,中级,2022-06-03,C,1192,20.49,4.32,40.86,46.52,18-25,1,2025Q3,23,0.34,0.33
L000503,2025-09-11,南京,懂车帝,33,女,40,0,0,40,2025-09,2,28.3,40.4,3.0,2025-09-17,2025-10-01,电话,0.69,0.196,0.114,S050,2,6,14,0.133,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S050,南京,中级,2022-04-15,B,1245,10.97,3.29,32.18,72.24,26-35,0,2025Q3,23,0.34,0.25
L000504,2025-07-28,深圳,朋友推荐,39,男,45,1,0,45,2025-07,5,19.6,35.7,7.2,2025-08-02,2025-08-10,面谈,0.131,0.2,0.668,S014,1,5,8,0.556,O000503,2025-10-04,G9,650 Max,月光银,103.0,1.0,3.0,68.0,0,无,0,0.0,0.0,0.0,0.0,0,S014,深圳,中级,2021-04-20,B,1560,17.02,5.45,9.16,31.36,36-45,0,2025Q3,24,0.33,0.223
L000505,2025-08-18,广州,门店,52,男,36,0,0,36,2025-08,0,0.0,0.0,0.0,2025-08-18,2025-08-18,面谈,0.388,0.092,0.52,S021,0,0,0,0.0,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S021,广州,中级,2023-06-28,C,782,24.24,5.64,14.82,53.1,46-55,0,2025Q3,9,0.31,0.246
L000506,2025-12-06,武汉,车展,48,男,47,0,0,47,2025-12,3,16.3,29.1,3.2,2025-12-12,2025-12-28,电话,0.648,0.302,0.049,S034,1,6,16,0.176,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S034,武汉,初级,2024-06-28,B,526,19.19,6.35,41.66,53.42,46-55,1,2025Q4,16,0.25,0.343
L000507,2025-10-28,重庆,车展,31,女,25,0,0,25,2025-10,3,14.6,20.0,3.5,2025-11-01,2025-11-04,电话,0.395,0.358,0.247,S035,2,4,3,0.75,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S035,重庆,中级,2022-05-20,B,1257,22.72,4.54,21.4,56.79,26-35,0,2025Q4,23,0.25,0.225
L000508,2025-10-12,重庆,小红书,37,男,31,0,0,31,2025-10,2,15.8,32.8,4.1,2025-10-13,2025-11-03,微信,0.276,0.424,0.301,S021,1,1,21,0.091,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S021,重庆,中级,2021-03-16,C,1671,17.83,4.36,37.11,44.38,36-45,1,2025Q4,23,0.29,0.345
L000509,2025-09-15,武汉,门店,54,男,44,1,0,44,2025-09,7,18.9,32.6,4.1,2025-09-21,2025-10-07,电话,0.524,0.438,0.038,S015,2,6,16,0.412,O000508,2025-11-19,G9,702 Pro,星云白,83.0,0.0,3.8,65.0,0,无,0,0.0,0.0,0.0,0.0,0,S015,武汉,初级,2022-12-27,B,993,24.92,3.32,25.79,66.69,46-55,0,2025Q3,10,0.31,0.352
L000510,2025-08-28,深圳,朋友推荐,54,男,26,0,0,26,2025-08,3,13.4,26.8,4.0,2025-08-28,2025-09-12,面谈,0.287,0.18,0.532,S019,1,0,15,0.188,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S019,深圳,初级,2024-01-27,B,579,15.94,3.88,26.97,54.34,46-55,0,2025Q3,19,0.33,0.379
L000511,2025-07-18,广州,懂车帝,49,男,25,0,0,25,2025-07,1,17.0,36.0,0.0,2025-07-25,2025-08-04,电话,0.371,0.362,0.267,S014,3,7,10,0.091,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S014,广州,高级,2021-04-06,C,1564,27.46,4.37,40.61,33.25,46-55,0,2025Q3,21,0.34,0.362
L000512,2025-12-20,成都,懂车帝,32,女,34,0,0,34,2025-12,0,0.0,0.0,0.0,2025-12-20,2025-12-20,电话,0.587,0.376,0.037,S002,0,0,0,0.0,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S002,成都,初级,2022-03-28,A,1363,21.19,5.71,27.61,41.55,26-35,1,2025Q4,14,0.34,0.347
L000513,2025-10-09,重庆,门店,48,男,45,0,0,45,2025-10,2,9.2,17.6,5.1,2025-10-13,2025-11-05,面谈,0.156,0.297,0.547,S043,3,4,23,0.083,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S043,重庆,初级,2021-10-09,C,1461,20.45,4.11,12.82,67.9,46-55,0,2025Q4,23,0.31,0.325
L000514,2025-09-13,西安,懂车帝,36,男,17,1,0,17,2025-09,3,21.4,31.7,2.6,2025-09-18,2025-09-19,电话,0.67,0.183,0.146,S011,1,5,1,1.5,O000513,2025-10-03,G9,650 Performance,星阙灰,164.0,0.0,3.7,20.0,0,无,0,0.0,0.0,0.0,0.0,0,S011,西安,中级,2024-03-18,B,544,23.8,5.68,10.47,25.78,36-45,1,2025Q3,13,0.34,0.22
L000515,2025-10-07,广州,懂车帝,46,女,30,1,0,30,2025-10,5,24.6,38.2,1.9,2025-10-10,2025-10-25,电话,0.547,0.09,0.363,S008,1,3,15,0.312,O000514,2025-11-24,G9,650 Max,星云白,54.0,0.0,3.6,48.0,0,无,0,0.0,0.0,0.0,0.0,0,S008,广州,中级,2023-12-13,B,664,18.85,3.67,25.8,30.91,46-55,0,2025Q4,10,0.34,0.228
L000516,2025-11-09,北京,抖音,41,女,37,0,0,37,2025-11,4,32.0,42.3,7.7,2025-11-13,2025-12-07,电话,0.612,0.344,0.045,S034,1,4,24,0.16,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S034,北京,高级,2021-11-13,B,1457,21.71,6.26,32.29,65.74,36-45,1,2025Q4,20,0.27,0.389
L000517,2025-07-31,北京,抖音,38,男,33,1,0,33,2025-07,3,9.6,19.7,7.7,2025-08-06,2025-08-16,面谈,0.285,0.27,0.444,S048,3,6,10,0.273,O000516,2025-09-05,G9,650 Max,星际绿,88.0,0.0,5.0,36.0,0,无,0,0.0,0.0,0.0,0.0,0,S048,北京,初级,2023-05-20,A,803,12.53,2.1,22.65,30.98,36-45,0,2025Q3,18,0.27,0.313
L000518,2025-10-03,上海,车展,38,男,51,1,0,51,2025-10,1,12.3,26.7,0.0,2025-10-06,2025-10-14,电话,0.572,0.386,0.042,S018,2,3,8,0.111,O000517,2025-11-05,G9,702 Pro,星际绿,141.0,1.0,3.6,33.0,1,交付等待,1,14.6,19.8,3.5,3.4,1,S018,上海,中级,2022-07-11,B,1180,18.05,5.15,16.78,73.51,36-45,0,2025Q4,19,0.25,0.26
L000519,2025-08-07,上海,懂车帝,42,女,33,0,0,33,2025-08,0,0.0,0.0,0.0,2025-08-07,2025-08-07,面谈,0.1,0.36,0.54,S049,0,0,0,0.0,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S049,上海,高级,2021-06-21,B,1508,28.21,3.29,40.14,68.94,36-45,0,2025Q3,14,0.34,0.385
L000520,2025-12-15,北京,抖音,43,男,20,0,0,20,2025-12,2,9.0,18.0,3.9,2025-12-20,2026-01-09,微信,0.463,0.468,0.069,S030,1,5,20,0.095,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S030,北京,资深,2024-04-23,B,601,14.02,3.23,16.56,26.05,36-45,0,2025Q4,8,0.27,0.367
